City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Weather Desc,Rain/Inches,Snow,Wind Speed
182,Bourail,NC,2020-04-18 21:02:34,-21.57,165.48,75.61,75,86,overcast clouds,0,0,4.16
183,Ahipara,NZ,2020-04-18 20:57:49,-35.17,173.17,65.62,82,87,overcast clouds,0,0,8.28
184,Aguada De Pasajeros,CU,2020-04-18 21:02:35,22.39,-80.85,87.8,58,39,scattered clouds,0,0,13.87
185,Innisfail,AU,2020-04-18 21:02:35,-17.53,146.03,66.0,98,1,clear sky,0,0,3.38
186,Koumac,NC,2020-04-18 21:02:35,-20.57,164.28,76.89,75,72,broken clouds,0,0,5.86
187,Fray Bentos,UY,2020-04-18 21:02:35,-33.13,-58.3,77.0,49,0,clear sky,0,0,1.01
188,Malaryta,BY,2020-04-18 21:02:36,51.79,24.07,39.2,55,27,scattered clouds,0,0,2.24
189,Komsomolskiy,UZ,2020-04-18 20:57:53,40.43,71.72,55.4,62,4,clear sky,0,0,2.24
190,Fengcheng,CN,2020-04-18 21:02:36,40.45,124.07,51.58,52,100,overcast clouds,0,0,3.74
191,Beruwala,LK,2020-04-18 21:02:36,6.48,79.98,79.11,87,8,light rain,{'3h': 0.12},0,4.61
192,Ngunguru,NZ,2020-04-18 20:58:14,-35.62,174.5,61.0,98,96,overcast clouds,0,0,10.69
193,Krasnoselkup,RU,2020-04-18 21:02:37,65.7,82.47,37.29,85,100,light rain,{'3h': 0.79},0,21.0
194,Puerto Colombia,CO,2020-04-18 21:02:37,10.99,-74.95,91.4,55,20,few clouds,0,0,11.41
195,Verkhoyansk,RU,2020-04-18 21:02:37,67.54,133.38,-6.11,83,9,clear sky,0,0,1.79
196,Ayagoz,KZ,2020-04-18 21:02:37,47.97,80.44,46.38,46,4,clear sky,0,0,5.77
197,Moron,AR,2020-04-18 21:02:37,-34.65,-58.62,75.99,51,0,clear sky,0,0,7.31
198,General Roca,AR,2020-04-18 21:02:38,-39.03,-67.58,87.8,25,100,overcast clouds,0,0,9.17
199,Waddan,LY,2020-04-18 21:02:38,29.16,16.14,72.16,23,17,few clouds,0,0,11.52
200,Mae Sot,TH,2020-04-18 21:02:38,16.72,98.57,67.78,59,0,clear sky,0,0,1.03
201,Andros Town,BS,2020-04-18 20:55:10,24.7,-77.77,86.0,62,40,scattered clouds,0,0,13.87
202,Antofagasta,CL,2020-04-18 20:59:38,-23.65,-70.4,66.2,68,20,few clouds,0,0,13.87
203,Fuengirola,ES,2020-04-18 21:02:39,36.54,-4.62,62.6,82,20,few clouds,0,0,5.82
204,Saint Anthony,US,2020-04-18 21:02:39,45.02,-93.22,64.99,31,75,broken clouds,0,0,14.99
205,Laguna,US,2020-04-18 20:59:10,38.42,-121.42,68.0,52,1,clear sky,0,0,8.05
206,Tutoia,BR,2020-04-18 20:58:53,-2.76,-42.27,80.04,82,99,light rain,{'3h': 0.92},0,5.55
207,Ambilobe,MG,2020-04-18 21:02:40,-13.2,49.05,73.45,82,47,scattered clouds,0,0,5.32
208,Kurumkan,RU,2020-04-18 21:02:40,54.3,110.3,24.17,80,100,light snow,0,{'3h': 0.21},2.28
209,Kayasula,RU,2020-04-18 21:02:40,44.33,45.0,51.66,62,99,overcast clouds,0,0,1.86
210,Westport,US,2020-04-18 20:58:06,41.14,-73.36,45.0,65,90,overcast clouds,0,0,10.29
211,Port-Cartier,CA,2020-04-18 21:02:40,50.03,-66.87,36.0,69,75,broken clouds,0,0,11.41
212,Inirida,CO,2020-04-18 20:58:00,3.87,-67.92,77.76,92,100,moderate rain,{'3h': 9.37},0,2.15
213,Oranjestad,AW,2020-04-18 21:00:10,12.52,-70.03,86.0,66,40,scattered clouds,0,0,23.04
214,Hasaki,JP,2020-04-18 20:57:45,35.73,140.83,53.6,81,75,broken clouds,0,0,5.82
215,Santa Isabel Do Rio Negro,BR,2020-04-18 21:02:42,-0.41,-65.02,81.7,81,48,moderate rain,{'3h': 3.97},0,3.42
216,Tucuman,AR,2020-04-18 21:01:54,-26.82,-65.22,82.4,42,0,clear sky,0,0,10.29
217,College,US,2020-04-18 20:57:23,64.86,-147.8,41.0,93,90,light rain,0,0,2.21
218,Malim,PH,2020-04-18 21:02:42,7.45,123.43,81.3,75,0,clear sky,0,0,5.59
219,Longyearbyen,SJ,2020-04-18 20:57:18,78.22,15.64,30.2,80,20,few clouds,0,0,1.12
220,Sucua,EC,2020-04-18 21:02:43,-2.47,-78.17,68.76,58,100,light rain,{'3h': 0.37},0,1.19
221,Beloha,MG,2020-04-18 20:54:00,-25.17,45.05,71.65,82,12,few clouds,0,0,12.01
222,San Policarpo,PH,2020-04-18 20:58:28,12.18,125.51,81.57,78,22,light rain,{'3h': 0.18},0,14.65
223,Huntingdon,GB,2020-04-18 21:02:43,52.33,-0.19,46.99,84,65,broken clouds,0,0,1.01
224,Grand-Santi,GF,2020-04-18 21:02:44,4.25,-54.38,80.71,85,69,light rain,{'3h': 2.9},0,3.06
