City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Clyde,US,2020-04-16 03:20:13,41.3,-82.98,35.01,74,90,14.99
176,Burnie,AU,2020-04-16 03:20:14,-41.07,145.92,64.0,6,43,18.01
177,Srednekolymsk,RU,2020-04-16 03:20:14,67.45,153.68,9.09,93,86,13.33
178,Hervey Bay,AU,2020-04-16 03:20:14,-25.3,152.85,84.99,45,40,11.41
179,Augusto Correa,BR,2020-04-16 03:20:14,-1.02,-46.63,73.53,95,100,2.04
180,Ust-Kuyga,RU,2020-04-16 03:20:15,70.02,135.6,2.62,89,100,13.38
181,Puri,IN,2020-04-16 03:20:15,19.8,85.85,86.0,74,40,21.05
182,Kalemie,CD,2020-04-16 03:20:15,-5.95,29.19,71.13,67,99,0.94
183,Petropavlovsk-Kamchatskiy,RU,2020-04-16 03:19:59,53.05,158.65,46.4,36,100,6.71
184,Muros,ES,2020-04-16 03:20:16,42.78,-9.06,59.0,100,75,6.93
185,Taoudenni,ML,2020-04-16 03:20:16,22.68,-3.98,82.96,36,31,2.84
186,Avarua,CK,2020-04-16 03:20:16,-21.21,-159.78,78.8,74,99,4.7
187,Yar-Sale,RU,2020-04-16 03:20:16,66.83,70.83,14.18,90,0,10.78
188,Kiama,AU,2020-04-16 03:20:17,-34.68,150.87,75.99,53,75,8.05
189,Port Augusta,AU,2020-04-16 03:20:17,-32.5,137.77,73.0,56,40,16.11
190,Lata,PT,2020-04-16 03:20:17,40.16,-8.33,57.0,87,20,8.05
191,Guerrero Negro,MX,2020-04-16 03:20:17,27.98,-114.06,66.54,52,0,17.4
192,Zhigansk,RU,2020-04-16 03:20:18,66.77,123.37,7.7,89,0,22.21
193,Kiri Buru,IN,2020-04-16 03:20:18,22.08,85.35,91.54,23,100,1.5
194,Yumen,CN,2020-04-16 03:20:18,40.28,97.2,60.22,17,8,26.33
195,Geraldton,AU,2020-04-16 03:20:18,-28.77,114.6,78.8,34,10,13.87
196,Marrakesh,MA,2020-04-16 03:19:19,31.63,-8.01,53.6,76,0,3.36
197,Chardara,KZ,2020-04-16 03:20:19,41.25,67.97,54.14,49,89,4.54
198,Chapais,CA,2020-04-16 03:17:42,49.78,-74.85,17.6,52,75,4.7
199,Mar Del Plata,AR,2020-04-16 03:20:19,-38.0,-57.56,50.0,87,0,3.36
200,Sovetskiy,RU,2020-04-16 03:20:20,61.36,63.58,37.94,75,9,11.1
201,Tianjin,CN,2020-04-16 03:20:20,39.14,117.18,60.8,63,43,13.42
202,Palmer,US,2020-04-16 03:20:20,42.16,-72.33,37.99,78,1,2.21
203,Pemangkat,ID,2020-04-16 03:20:21,1.17,108.97,85.12,70,96,5.79
204,Porto Velho,BR,2020-04-16 03:15:45,-8.76,-63.9,73.4,94,20,2.24
205,Xinzhi,CN,2020-04-16 03:20:21,36.5,111.7,64.09,20,0,19.51
206,Kruisfontein,ZA,2020-04-16 03:20:22,-34.0,24.73,56.05,74,100,6.82
207,Ilulissat,GL,2020-04-16 03:20:22,69.22,-51.1,28.4,68,100,2.24
208,Tabas,IR,2020-04-16 03:20:22,33.6,56.92,59.0,62,2,2.24
