City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
181,Matara,LK,78.44,broken clouds,5.95,80.54,Saffron Villa
183,Arlit,NE,90.91,overcast clouds,18.74,7.39,Hôtel Telwa Bungalow
184,Natchitoches,US,73.4,thunderstorm with light rain,31.77,-93.13,
186,Karratha,AU,82.06,overcast clouds,-20.74,116.85,Karratha International Hotel
187,Halifax,CA,50.0,clear sky,44.65,-63.57,Hotel Halifax
188,Prachuap Khiri Khan,TH,78.78,scattered clouds,11.82,99.78,Prachuapniyom Boutique Hotel
189,Beyneu,KZ,66.72,overcast clouds,45.32,55.2,NUR
190,Carnarvon,AU,71.6,broken clouds,-24.87,113.63,
191,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
192,Espanola,US,57.99,broken clouds,35.99,-106.08,Inn At the Delta
194,Katghora,IN,78.73,broken clouds,22.5,82.55,Deppak bhojanalay new bus stand
196,Barwadih,IN,78.71,scattered clouds,23.83,84.12,
197,Los Llanos De Aridane,ES,68.0,few clouds,28.66,-17.92,Valle Aridane
198,Cairns,AU,77.0,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
200,Dole,FR,64.4,overcast clouds,47.08,5.5,Le 38 Hotel Restaurant
202,La Mana,EC,64.4,scattered clouds,-0.93,-79.22,"Balneario ""El Cacagual"""
204,Sangueya,GN,79.75,scattered clouds,10.7,-14.37,
205,Buchanan,LR,82.4,scattered clouds,5.88,-10.05,Hotel Buchanan Liberia
209,Ancud,CL,55.4,broken clouds,-41.87,-73.82,HOTEL ANCUD DON LUCAS
210,Jinji,CN,71.92,few clouds,23.23,110.83,
211,San Nicolas,PH,78.8,few clouds,18.17,120.6,SUNDAY COCOON GUEST HOUSE II
212,West Bay,KY,84.99,light intensity shower rain,19.37,-81.42,West Point Townhomes
213,Tessalit,ML,86.2,clear sky,20.2,1.01,
216,Pringsewu,ID,74.98,broken clouds,-5.36,104.97,Pondok Palem
217,Lazaro Cardenas,MX,84.07,broken clouds,17.96,-102.2,Hotel Quinta Antigua
218,Kaka,TM,65.41,clear sky,37.35,59.61,
219,Khandwa,IN,84.7,overcast clouds,21.83,76.33,"Rajni Villa, Jaideep Patidar"
220,Barpali,IN,79.65,broken clouds,21.2,83.58,
221,Wanning,CN,77.38,overcast clouds,18.8,110.4,People Hotel
222,Kruisfontein,ZA,67.55,scattered clouds,-34.0,24.73,
223,Kulhudhuffushi,MV,86.14,clear sky,6.62,73.07,Haajy Guest House 1
224,Gariaband,IN,81.7,broken clouds,20.64,82.06,HOTEL CITY REGENCY
225,Wuxue,CN,54.5,clear sky,29.85,115.55,Hyatt Hotels
226,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,
228,San Jose,US,69.01,broken clouds,37.34,-121.89,Hotel De Anza
231,Coquimbo,CL,64.4,broken clouds,-29.95,-71.34,Punto de encuentro
232,Zhongshu,CN,59.43,clear sky,24.52,103.77,庐水宾馆
234,Lashio,MM,66.65,few clouds,22.93,97.75,Hotel CF Lashio - Burmese Only
236,San Pedro,PH,82.4,few clouds,14.35,121.02,
237,Aras,ES,55.4,broken clouds,42.56,-2.36,El Molino
240,Naze,JP,68.0,broken clouds,28.37,129.48,
242,Necochea,AR,70.0,scattered clouds,-38.55,-58.74,Casa de Mar Hostel
244,Price,US,55.4,few clouds,39.6,-110.81,Desolation Gray - Green River Permit (recgovnpsdata)
245,Arraial Do Cabo,BR,77.0,scattered clouds,-22.97,-42.03,Praia Grande Pousada
248,Northam,GB,55.0,broken clouds,51.03,-4.22,Durrant House Hotel
249,Cayenne,GF,84.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
250,Cozumel,MX,87.8,broken clouds,20.51,-86.95,Flamingo Hotel Cozumel
253,Avera,US,55.4,light rain,33.19,-82.53,
254,Isla Vista,US,64.4,scattered clouds,34.41,-119.86,UCSB Summer Inn
255,Marysville,US,61.0,broken clouds,48.05,-122.18,Quality Inn Tulalip - Marysville
257,Hochheim,DE,51.01,clear sky,50.37,10.45,
258,Loreto,MX,86.94,clear sky,22.27,-101.97,
260,East London,ZA,75.74,clear sky,-33.02,27.91,Premier Hotel Regent
262,Kavieng,PG,83.5,scattered clouds,-2.57,150.8,KVR TOWN OFFICE
263,Kigoma,TZ,75.2,thunderstorm,-4.88,29.63,TWINS GROUP
